Client,Case Study or Client Story,Industry,Vertical,Product,Summary,Link,Quarter,Primary region
Croquetteland,Client story,Pets,Retail,Curations,Visual content,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,EMEA
CST Tires,Client story,Automotive,Brand,R&R,"Newly launched client, CST Tires quickly gains volume and coverage through professional riders",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EkEnXd_67tdGgyWtXFw5Lz4Bzwf49xsOycZk4ADgvP594A?e=Ri6hHU,FY18 Q3,NA
Cuisinart,Client story,Hardware / Home Appliance Electronics,Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Cutlery and More,Client story,Home Improvement/Furnishings,Retail,R&R,Cutlery and More Slashes Low-Rated Products to Improve Reputation,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eik7uj87Hv1Kvdj-NKFzGigBRPZzOLga5uVp_iEF7a68FA?e=Aytx3X,FY19 Q2,NA
Dan Murphys,Client story,Alcoholic Beverages,Retail,R&R,Dan Murphy’s creates 4 star + Store of the Future,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,APAC
Danby,Client story,Hardware / Home Appliance Electronics,Brand,R&R,Danby uses non-transactional PIE via warranty registrations to boost the value of their brand and sentiment at retail,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Davids Bridal,Client story,Apparel / Accessories,Retail,Curations,"After closing stores for COVID, David’s Bridal gets creative to drive traffic to its site by using social activation via Instagram hashtags and sweepstakes to showcase heartfelt stories from frontline workers, resulting in huge social and traffic increases.",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Debenhams,Client story,Mass Merchant / Department Store,Retail,R&R,Inbound syndication drives volume and conversion,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eg9ETkiwqnVNt8UA6-5qcHQBacRDICLAglbhDfv5_ydcoA?e=AOPMGZ,FY17 Q3,EMEA
Debenhams,Client story,Mass Merchant / Department Store,Retail,R&R,Operationaling uncovering product insights and driving customer advocacy,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eg9ETkiwqnVNt8UA6-5qcHQBacRDICLAglbhDfv5_ydcoA?e=AOPMGZ,FY17 Q3,EMEA
Debenhams,Client story,Mass Merchant / Department Store,Retail,R&R,Consistence customer experience across devices,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eg9ETkiwqnVNt8UA6-5qcHQBacRDICLAglbhDfv5_ydcoA?e=AOPMGZ,FY17 Q3,EMEA
Debenhams,Client story,Mass Merchant / Department Store,Retail,Sampling,"Uses BV Sampling to to support launch of KVD's brand products; 262 samples sent, 90% submission rate, 18% conversion increase",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,EMEA
Debenhams,Client story,Mass Merchant / Department Store,Retail,R&R,Sweeps leads to lift in ratings and volume; from 4.1 to 4.5 and 146% increase in volume from same month in year prior,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,EMEA
Debenhams,Client story,Mass Merchant / Department Store,Retail,Curations,"Curations supports KVD brand launch; 1,000 pics collected, 25,000 interactions in 2 weeks, £29,000 lift and £AOV",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,EMEA
Debenhams,Client story,Mass Merchant / Department Store,Retail,R&R,"Syndication drives sales success and fuels Debenhams' efforts in getting get vendors to collect and syndicate content, including at hosted events; Conversion increase after syndication is 16% for Sketchers, 23% for Kiehls, 30% for Lancome and 35% for Dyson",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,EMEA
Dickies Clothing,Client story,Apparel / Accessories,Brand,R&R,"Reviews lead to insights, product improvements and helped avoid negative changes to the manufacturing ",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,NA
Dickies Clothing,Client story,Apparel / Accessories,Brand,Curations,Visual content to drive conversion on-site and in channel,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ErfaL71Z3v9Ekxl5v1-419ABJTP8M3mbNUqdQLQMIVpQ7Q?e=T6PuAG,FY18 Q1,NA
DM,Client story,Health / Beauty,Retail,R&R,How translated Reviews helped retailer DM to double/ quadruple their review volume for the shops in Hungary and Slovakia,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,EMEA
DM,Client story,Health / Beauty,Retail,R&R,"Translated Reviews helped retailer DM to triple review volume, coverage and conversion lift  in their secondary markets ",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,EMEA
Doc Morris,Client story,Food / Beverage / Drug,Retail,R&R,Doc Morris uses Review Insights to drive supplier negotiation and product development,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,EMEA
Doc Morris,Client story,Food / Beverage / Drug,Retail,R&R,Doc Morris innovates volume collection for highly regulated content,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,EMEA
Doc Morris 3,Client story,Food / Beverage / Drug,Retail,R&R,Receiving syndicated content from L'Oreal increases conversions on DocMorris site,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EqesuCdv7jtCiao_XV_jIucB5ybzR8XUOCjC7rVcjPp_fA?e=8Mpwnq,FY19 Q3,EMEA
Dollar Tree,Client story,Mass Merchant / Department Store,Retail,R&R,Improved product field allows for inbound syndication for volume and conversion lift; 44 new sources yield 43K reviews from syndication,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,NA
DOUGLAS,Client story,Health / Beauty,Retail,R&R,Omnichannel PIE,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,EMEA
Downlite,Client story,Home Improvement/Furnishings,Brand,R&R,Product feed and DCC improvements,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,NA
Dr. LeWinns,Client story,Health / Beauty,Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Driscolls,Client story,Food / Beverage / Drug,Brand,R&R,Review volume increase drives increases in traffic and SEO,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EqesuCdv7jtCiao_XV_jIucB5ybzR8XUOCjC7rVcjPp_fA?e=8Mpwnq,FY19 Q3,NA
DSW,Client story,Footwear,Retail,Curations,"Within the first month of launching Curations, the site experienced significant increases in engagement, conversions, AOV and RPV",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,NA
DSW,Client story,Footwear,Retail,R&R,"Elevating secondary ratings info proves to be perfect “fit” for DSW, leading to additional $7.9M in annual demand",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,NA
Duracell,Client story,CPG (Consumer Packaged Goods),Brand,TryIt Sampling,TryIt helps Duracell (non-transactional) improve ratings and sales of key product on retail sites,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Dyson,Client story,Consumer Electronics,Brand,R&R,Created a playbook to increase adoption of BV program across more markets/regions,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,EMEA
Dyson,Client story,Consumer Electronics,Brand,R&R,Dyson see value in Conversations and a healthy product feed,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,EMEA
Easton,Client story,Sporting Goods / Outdoors,Brand,R&R,Live event app increases volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EqesuCdv7jtCiao_XV_jIucB5ybzR8XUOCjC7rVcjPp_fA?e=8Mpwnq,FY19 Q3,NA
elf,Client story,Health / Beauty,Brand,R&R,Increasing  Quality Content & Review Volume  via Strong Rate & Win Competition ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,APAC
Elkjop,Client story,Consumer Electronics,Retail,Q&A,Innovative Q&A model boosts the bottom line,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,EMEA
Elkjop,Client story,Consumer Electronics,Retail,R&R,Elkjop – translations increases review volume by 56% on average across 4 instances ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,EMEA
Elkjop,Client story,Consumer Electronics,Retail,"R&R,Q&A",Elkjop uses video format to educate company on the value of UGC,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,EMEA
Emma Bridgewater,Client story,Home Improvement/Furnishings,Retail,R&R,Adding R&R in cart abandonment emails,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,EMEA
Ensure,Client story,Dietary Supplements,Brand,R&R,Ensure uses a sweepstakes campaign that’s built and managed entirely by BV services from end-to-end,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eik7uj87Hv1Kvdj-NKFzGigBRPZzOLga5uVp_iEF7a68FA?e=Aytx3X,FY19 Q2,NA
Ezviz,Client story,Consumer Electronics,Brand,Sampling,Discovers and resolves a product issue pre-launch . . .  thanks to Brand Sampling Managed Services   ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,NA
Fabric.com,Client story,Home Improvement/Furnishings,Retail,R&R,"Conversion increased by 17.7% YoY (1% MoM), sales increased by 3.3% YoY (1.9% MoM), and orders increased by 5% YoY (13.7% MoM) via fostering a community on site during customer appreciation month",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eg9ETkiwqnVNt8UA6-5qcHQBacRDICLAglbhDfv5_ydcoA?e=AOPMGZ,FY17 Q3,NA
Fashion World,Client story,Apparel / Accessories,Retail,R&R,Sales gain from media efficacy,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,EMEA
Fashion World,Client story,Apparel / Accessories,Retail,R&R,Leverages CGC to influence path to purchase,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,EMEA
FGL Sport,Client story,Sporting Goods / Outdoors,Retail,R&R,FGL Sport Takes A Holistic Approach to Increasing Displayable Reviews,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,NA
Fingerhut,Client story,Mass Merchant / Department Store,Retail,R&R,Fingerhut’s platform upgrade results in upgrade of program performance,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,NA
Fleet Farm,Client story,Mass Merchant / Department Store,Retail,R&R,BV Loader and DCC increases syndication,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Fleet Farm,Client story,Mass Merchant / Department Store,Retail,R&R,Drives volume with In-Mail and MPS ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Fossil,Client story,Jewelry,Brand,TryIt Sampling,Fossil leverage TryIt reviews in-store,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eik7uj87Hv1Kvdj-NKFzGigBRPZzOLga5uVp_iEF7a68FA?e=Aytx3X,FY19 Q2,EMEA
Fossil,Client story,Jewelry,Brand,Sampling,Fossil drives product innovation and wins retail shoppers with user-generated content,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,EMEA
Fridababy,Client story,CPG (Consumer Packaged Goods),Brand,R&R,Ran a sweepstakes and generated hundreds of reviews in support of efforts to increase brand awareness,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q4,NA
Funai,Client story,Consumer Electronics,Brand,R&R,Funai leverages the simple submission link (ssURL) to boost product performance at Walmart,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,NA
GameStop,Client story,Toys / Games / Hobbies,Retail,R&R,In-mail submission and multi-product submission,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,NA
Generac,Client story,Hardware / Home Appliance Electronics,Brand,R&R,Incentives drove increase in visual content,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,NA
Goodman,Client story,Diversified Manufacturing Conglomerate,Brand,R&R,Re-implementation of BV Pixel drives review volume ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,NA
Greenworks Tools,Client story,Hardware / Home Improvement,Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Grohe,Client story,Hardware / Home Improvement,Brand,R&R,How Incentivized B2B Review campaigns spark the Conversation,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,EMEA
Grohe,Client story,Hardware / Home Improvement,Brand,R&R,"Non-eCom, B2B Brand Grohe kicks off 1st Best Volume Practice",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,EMEA
Groupe Dynamite,Client story,Apparel / Accessories,Brand,R&R,"Sweeps in PIE and banners increases ratings, volume, engagement and conversion; 4X lift in volume, ratings lift from 4.2 to 4.7, 11% increase in conversion rate and 3.5K more actrive shoppers",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,NA
Guardian,Client story,Health / Beauty,Retail,R&R,In-mail submission and multi-product submission,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,APAC
Gymboree,Client story,Apparel / Accessories,Retail,R&R,"Gymboree sees a huge increase in review coverage, volume and conversion using multi-product submission",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eik7uj87Hv1Kvdj-NKFzGigBRPZzOLga5uVp_iEF7a68FA?e=Aytx3X,FY19 Q2,NA
Haier-GEA,Client story,Hardware / Home Appliance Electronics,Brand,Sampling,Haier uses TryIt to drive GTM volume and insights for new innovative washers,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,NA
Hairhouse,Client story,Mass Merchant / Department Store,Retail,R&R,Hairhouse improves sales by generating more review volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,APAC
Harvey Norman,Client story,Mass Merchant / Department Store,Retail,R&R,Increase conversion by making reviews more visible and accessible (amplify),https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElcJTDMa6RJKuwRnkDd7KdgB203SXb3R71C48drbDB1y8Q?e=Fa2ejw,FY18 Q4,APAC
Harvey Norman,Client story,Mass Merchant / Department Store,Retail,R&R,Product feed increases review volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EmKOVZCmIRtMhfW6-1O7NqUBSe8y7Hq2IMrcnHQx-u3iPg?e=drXTOe,FY19 Q4,NA
Harvey Norman,Client story,Mass Merchant / Department Store,Retail,R&R,Harvey Norman improve feeds to increase syndication from brands. ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,APAC
Harvey Norman,Client story,Mass Merchant / Department Store,Retail,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Hasbro,Client story,Toys / Games / Hobbies,Brand,,,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Healthy Essentials,Client story,Health / Beauty,Brand,R&R,Loyalty drives “Healthy” Review Volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,NA
Hibbett,Client story,Sporting Goods / Outdoors,Retail,R&R,Hibbett leverages BV technical resources to bolster key partnership ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Hibbett 1,Client story,Sporting Goods / Outdoors,Retail,R&R,"Sweepstakes and PIE changes drive increases in submission rate, review volume, and coverage",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElD30FFvwXhEqnsgNhfNBjIByDlLyjEnLcF9zORHazjarQ?e=1pRMjb,FY19 Q1,NA
Hibbett 2,Client story,Sporting Goods / Outdoors,Retail,Curations,Increases visual content via direct upload button following change in Instagram API,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ElD30FFvwXhEqnsgNhfNBjIByDlLyjEnLcF9zORHazjarQ?e=1pRMjb,FY19 Q1,NA
Hisense,Client story,Consumer Electronics,Brand,R&R,"Used warranty registration data to collect reviews via incentives matching the products, used a detailed submission form to capture valuable insights and implemented the BV Pixel on the “Where to buy button”. PIE conversion rate hit 16%, conversion rose by 60%, 90% of reviews syndicated to retailers and 95% recommended Hisense Products.",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eg9ETkiwqnVNt8UA6-5qcHQBacRDICLAglbhDfv5_ydcoA?e=AOPMGZ,FY17 Q3,EMEA
HMS (Hefty),Client story,Home Improvement/Furnishings,Brand,R&R,"HMS, parent company of Hefty, redesigns a product based on insights",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EtLswiQeifhKogW4nArBhiYBXeFruWY0yAhHzfA8HnuB7Q?e=vEKOZU,FY21 Q3,
Hobbycraft,Client story,Speciality / Crafts / Art,Retail,R&R,Optimizing PIE,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ErfaL71Z3v9Ekxl5v1-419ABJTP8M3mbNUqdQLQMIVpQ7Q?e=T6PuAG,FY18 Q1,EMEA
Home Depot,Client story,Hardware / Home Improvement,Retail,R&R,"After seeing such high interaction and Add to Cart rates with visual UGC, Home Depot enables photo syndication. Ridiculous results, including 1.2M photos instantly displaying across the site and PDPs.",https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Et5L1G8UthhEhHvD0fGb-f4BE5CXv8V_los-nOqqz9nKMw?e=BGGv9I,FY21 Q2,
Home Hardware,Client story,Hardware / Home Improvement,Retail,R&R,Catalog feed improvements increases syndication volume,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EjbIYQXgd81Ihk--Pf_b794BUyfLknKaXBaNYKYcr-pFnQ?e=lhVwuC,FY21 Q1,NA
Homebase,Client story,Hardware / Home Improvement,Retail,R&R,Multi-source catalog pilot,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Eg9ETkiwqnVNt8UA6-5qcHQBacRDICLAglbhDfv5_ydcoA?e=AOPMGZ,FY17 Q3,EMEA
Homebase,Client story,Hardware / Home Improvement,Retail,R&R,In-store PIE increases volume and ROI,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,EMEA
House of Bath,Client story,Apparel / Accessories,Retail,R&R,Product insights,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EhpULsewQyNAhHn2JgpP8aIB13fyssrDrbwAaPVuzIvywQ?e=3UGQC8,FY17 Q1/Q2,EMEA
House of Fraser,Client story,Apparel / Accessories,Retail,R&R,Optimized SEO to improve CTR; 3.85% lift in mobile CTR ,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Em0QHm9mywBLh8sm7c5OEikBXWvoaV3nBrx_e6MeTtH6EA?e=OwDH3S,FY18 Q2,EMEA
House of Tsang,Client story,Food / Beverage / Drug,Brand,R&R,Social efforts increase brand's impact at retail channels,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/ErfaL71Z3v9Ekxl5v1-419ABJTP8M3mbNUqdQLQMIVpQ7Q?e=T6PuAG,FY18 Q1,NA
HP,Client story,Consumer Electronics,Brand,R&R,Top-rated products page drives sales,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/EqesuCdv7jtCiao_XV_jIucB5ybzR8XUOCjC7rVcjPp_fA?e=8Mpwnq,FY19 Q3,NA
HP,Client story,Consumer Electronics,Brand,TryIt Sampling,HP Display Sampling Boosts Consideration & Orders,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Emz2R3p7_-dJvykPGQLDynwBO_JeXVhMWE9aYou5KUDGHw?e=9kajrX,FY20 Q1/Q2,NA
Husqvarna,Client story,Hardware / Home Improvement,Brand,R&R,Husqvarna leverages sweepstakes during COVID to boost content at Retail,https://bvoice-my.sharepoint.com/:f:/g/personal/helpdesk9_bazaarvoice_com/Ele31kRCNgdEgUxkat4X4VwBZSG4JDxi8h2bzSFm0YfuBQ?e=42gsVM,FY20 Q3/Q4,NA
