Client,Name,Title,Full attribution,Industry,Vertical,Tags,"Quote ""...""",Source,Current client
EziBuy,Angela Ward,Omni Channel Business Development Manager,"Angela Ward, EziBuy",Apparel / Accessories,Retail,"Customer engagement,Q&A,Review Response,Insights","Their questions help us look at things differently and shows us where we can make improvements, including to our copy and communications to customers. We value their opinion and feedback incorporate it into all our decisions so we’re taking action based on customer wants. Our contact center is 100% customer-focused, so they read through all questions daily and provide answers. If they don’t know the answer, they route it to the appropriate area of the business to get it and respond within 48 hours. It’s safe to say that every question we answer on the site means one less phone call or email from our customers. Ultimately, the learnings we get, improvements we make, and communication with customers supports our endeavor to always exceed customer expectations",Case study,Yes
Feelunique,Tom Newbald,Marketing & Customer Experience Director,"Tom Newbald, Feelunique",Health / Beauty,Retail,"Customer experience,Visual content","Visual content is key to helping convey someone’s experience of a product. Makeup is highly visual and expressive, and there is already a wealth of fantastic imagery out there from customers who love using social channels to share. As a fast-growing business striving to keep customers at the center of everything we do, our consumer-generated content (CGC) program is a way for us to do that. Providing our customers with the ability to read reviews and see photos adds to the conversion rate, which in turn increases average order values and helps grow our business more quickly. We see that people are spending longer on pages with reviews and photos and are more likely to convert. When you’re trying to scale a fast-growing business like ours with a massive catalog of over 20,000 SKUs, it’s a big task to add rich content to product pages ourselves. Visual content from advocates goes beyond the stock imagery from a brand. It creates a connection with our customers that they prefer to stock or brand imagery. We have tested many different types of content, and visual content harvested from customers has proven to be more engaging and have higher click-throughs than professional or stock photos.",Case study,Yes
Feelunique,Carla Martini,Head of On-site Experience,"Carla Martini, Feelunique",Health / Beauty,Retail,"Visual content,Tools","The platform is really intuitive to use and makes managing our social and visual UGC easy. Its features, such as detailed reporting, help elevate UGC across all our social, on-site, and email channels.",Case study,Yes
Feelunique,Carla Martini,Head of On-site Experience,"Carla Martini, Feelunique",Health / Beauty,Retail,"Conversion,Volume"," We expect sales to continue rising as we dedicate more resources and efforts on actively generating more native reviews. We’re always looking to improve the conversion rate of our product description pages (PDPs). As we increase the number of reviews per product, we see the conversion rates of those products climb higher and higher, which is why we always want more. We are already seeing the results of what a little more attention can do. In just one month, we gathered almost as many reviews as we did during all of last year.",Case study,Yes
Foreo,Adis Petrović,Online Communication Coordinator,"Adis Petrović, Foreo",Health / Beauty,Manufacturing,"Customer experience,BV Advantage: Network","First of all is good to have authentic reviews, and customers want to trust them. BV is able to provide exactly that. Gathering reviews to the sites, inbound and outbound syndication to other online retailers is a great option, helping us to share the word.",G2,Yes
GANT,Werner Hammer,Head of E-Commerce,"Werner Hammer, GANT",Apparel / Accessories,Manufacturing,Broad,We realize that consumers trust the opinions of other consumers more than they trust advertising.,Case study,Yes
GANT,Werner Hammer,Head of E-Commerce,"Werner Hammer, GANT",Apparel / Accessories,Manufacturing,SEO,Anyone who has anything to do with e-commerce knows that CGC is a brilliant tool for SEO.,Case study,Yes
Gladiator,Michelle Wodarczyk,Brand Marketing Manager,"Michelle Wodarczyk, Gladiator",Hardware / Home Improvement,Manufacturing,BV Advantage: Network,"It’s critical that we have reviews. In many cases, a shopper’s first experience is in reading reviews, so we needed a way to easily syndicate reviews to our partners’ sites",Case study,Yes
Gladiator,Michelle Wodarczyk,Brand Marketing Manager,"Michelle Wodarczyk, Gladiator",Hardware / Home Improvement,Manufacturing,"Sampling,TryIt","The level of ease is simple, and the process is clear. We’ve run similar programs with individual retail partners, but we prefer the TryIt Sampling program because it’s easier, and a lower cost way to get reviews on our own site and on multiple trade partner sites",Case study,Yes
Gladiator,Michelle Wodarczyk,Brand Marketing Manager,"Michelle Wodarczyk, Gladiator",Hardware / Home Improvement,Manufacturing,Insights,"Among other teams at Gladiator, our product team and engineers read reviews and make note of content containing insights. This helps us uncover customer sentiment around a variety of areas, like what we can do better or thoughts on features, ease of installation, and other crucial pieces of information coming directly from the consumer.",Case study,Yes
GlamCorner,Dean Jones,CEO,"Dean Jones, GlamCorner",Apparel / Accessories,Retail,Customer experience,"Introducing Bazaarvoice reviews has enabled our customers to leave a type of ‘sisterly advice’ for the next customer to hire a particular dress, particularly with respect to any nuances relating to size and fit. As our customers are typically renting a high-end dress for a specific event, size and fit are critical, given there may not be enough time to find an alternative size. Addressing this to reduce our refund rates has been a big focus. We don’t want our customers to simply hire a dress and give it back. We want them to feel immersed in the fashion rental concept and get as much out of it as possible. The large pool of reviews we’re collecting, sharing, and showcasing on our home page goes beyond crowdsourcing size and fit information – as important as that may be. It’s also about providing women the reassurance that others have had delightful experiences with us, and providing us with a powerful way to understand our customers better and to market to them more effectively. Consumer-generated content is the single most important driver of our business growth. Given fashion rental is still a pretty new concept in the Australian market, we rely on the early adopters to help spread the word about their awesome experience.",Case study,Yes
Groupe SEB,Ian Watkinson,Channel Controller,"Ian Watkinson, Groupe SEB",Consumer Electronics,Manufacturing,"Sampling,Insights,Conversion","We choose mainly new products and particularly focus on the inclusion of innovative or more complex products in the programme. We experienced a sales uplift post an increase in reviews on a recent campaign with the Tefal Snack Collection. It also definitely helps us with customer insight, where from a Testers review, we are now reviewing packaging and marketing messages.",Case study,Yes
Hong Kong Import,Miika Malinen,eCommerce Director,"Miika Malinen, Hong Kong Import",Hardware / Home Improvement,Retail,BV: Generic,"Our success with user-generated content has also had a positive effect on our brand. It’s really raised our profile, because other people and companies want to know how we did it.",Case study,Yes
I and love and you,Jeremy Dodge,Digital Marketing Manager,"Jeremy Dodge, I and love and you",Pets,Manufacturing,Broad,"A product with no reviews or just a small number of reviews is an immediate red flag for consumers. It gives the impression that hardly anyone has purchased it, and the brand is too small. Having a significant number of reviews proves to shoppers that we can be trusted",Case study,Yes
I and love and you,Jeremy Dodge,Digital Marketing Manager,"Jeremy Dodge, I and love and you",Pets,Manufacturing,"TryIt,Sampling","Members of the TryIt community give higher quality reviews that were more thorough and informative. You don’t have those single sentence ones like, ‘I like it",Case study,Yes
I and love and you,Jeremy Dodge,Digital Marketing Manager,"Jeremy Dodge, I and love and you",Pets,Manufacturing,"BV Advantage: Network,Conversion","Conversion rates are one of the most important things to retailers, and the biggest factor playing into that is review volume. That’s a win-win",Case study,Yes
I and love and you,Jeremy Dodge,Digital Marketing Manager,"Jeremy Dodge, I and love and you",Pets,Manufacturing,"Sampling,TryIt,Insights","We’re now building the cost of review campaigns into product development. We don’t launch products without reviews. It’s mandatory. TryIt is such an easy way to do that. When we switched to the new formula, we heard about it loud and clear in our reviews. It became crystal clear that we made a mistake, and when we corrected it, our sales recovered",Case study,Yes
I and love and you,Jeremy Dodge,Digital Marketing Manager,"Jeremy Dodge, I and love and you",Pets,Manufacturing,"Amplify,Broad","When someone can read reviews and see that other people have purchased this food and their dogs gobbled it up, that’s important. That’s something that’s tough to communicate through our own branded messaging. When a shopper reads that another consumer says it tastes better, that’s impactful. I and love and you stands firmly behind its products, and the company’s employees are proud to feed their own pets the very products they sell. Gathering reviews is a no-brainer for the brand. If you know you have a superior product, reviews are your best friend.",Case study,Yes
Jaguar,StrategicAutoChic,None,"StrategicAutoChic, Jaguar",Hardware / Home Appliance Electronics,Manufacturing,BV Advantage: Strategy & Expertise,The level of client relationship our team has experienced has encouraged Jaguar that we're on the right track tactically and for our long term goals.,Website,Yes
JBL,Michelle Frank,Director of Global E-commerce,"Michelle Frank, JBL",Consumer Electronics,Manufacturing,Sampling,"Based on those profiles, we were able to discuss with Bazaarvoice exactly who our customers are and which segments of that customer base would really want to sample a product. As a result, consumers were eager to participate in the program, and a very high percentage actually responded with a review. The level of participation far surpassed our expectations. A lot of people shared photos and explained in detail how they used the products,” she says. That content was very relatable and authentic. The reviews were also helpful from an SEO perspective, since they were richer and lengthier than other reviews we’d been getting.",Case study,Yes
JBL,Michelle Frank,Director of Global E-commerce,"Michelle Frank, JBL",Consumer Electronics,Manufacturing,"BV Advantage: Strategy & Expertise,BV: Generic","Bazaarvoice was amazing in giving us strategic guidance and helping us run the campaign. For example, the time and effort they invested in determining our member pool at the outset really set us up for success.",Case study,Yes
Jewelry Television,Brian Wilhelm,Director of Online Marketing,"Brian Wilhelm, Jewelry Television",Jewelry,Retail,Conversion,"What we’ve seen is that when people interact with reviews, they are more likely to order something, and the order value is also likely to be higher. On JTV.com, we have seen a 151% lift in conversion rate and a 25% lift in average order value for visitors who read reviews.",Case study,Yes
Kichler Lighting,Olivia Ciroli,Digital Merchandising Manager,"Olivia Ciroli, Kichler Lighting",Hardware / Home Appliance Electronics,Manufacturing,"BV Advantage: Service & Support,BV Advantage: Strategy & Expertise,BV Advantage: Network",Working with the Bazaarvoice team has been a very collaborative experience. They have been excellent at addressing every concern or need you could imagine. Some of the immediate benefits we’ve seen since implementing with Bazaarvoice are the deeper relationships we’ve establish with our retailers due to syndication.,Video interview,Yes
KidKraft,Taylor Herrero,Senior Ecommerce Marketing Manager,"Taylor Herrero, KidKraft",Toys / Games / Hobbies,Manufacturing,Customer experience,"Reviews and what real consumers are saying, that is your brand and can make or break you in a lot of ways.",Case study,Yes
KidKraft,Heather Stables,Director of Consumer Engagement,"Heather Stables, KidKraft",Toys / Games / Hobbies,Manufacturing,Insights,"We work really closely with the product development team to make sure that if we see consistent issues or questions being raised by consumers, we can go back and address that by making changes to the actual product. When we read a review that has something new in it, we try to incorporate that back.",Case study,Yes
KidKraft,Heather Stables,Director of Consumer Engagement,"Heather Stables, KidKraft",Toys / Games / Hobbies,Manufacturing,"Amplify,Insights",There are many examples of what we’ve learned from reviews on how our consumers are using our products that we can use in marketing material.,Case study,Yes
KidKraft,Taylor Herrero,Senior Ecommerce Marketing Manager,"Taylor Herrero, KidKraft",Toys / Games / Hobbies,Manufacturing,"Amplify,Insights","From a marketing standpoint, I think it’s really important to lean on your reviews to do some of the heavy lifting for you, particularly if you have a bit of a scrappy marketing budget.",Case study,Yes
KidKraft,Heather Stables,Director of Consumer Engagement,"Heather Stables, KidKraft",Toys / Games / Hobbies,Manufacturing,Broad,It has been a fascinating experience to see how reviews have become so important in the consumer journey. Companies are starting to think about them differently and about how they affect the entire consumer journey.,Case study,Yes
KidKraft,Heather Stables,Director of Consumer Engagement,"Heather Stables, KidKraft",Toys / Games / Hobbies,Manufacturing,BV: Generic,We’ve been partners for over seven years. Bazaarvoice is by far your best choice and excellent partners.,Case study,Yes
KidKraft,Heather Stables,Director of Consumer Engagement,"Heather Stables, KidKraft",Toys / Games / Hobbies,Manufacturing,Insights,We had multiple instances of user-generated content where consumers were DIYing our play houses and painting them white and giving them modern touches. We spotted this trend and we developed a white play house for our consumers.,Case study,Yes
KidKraft,Taylor Herrero,Senior Ecommerce Marketing Manager,"Taylor Herrero, KidKraft",Toys / Games / Hobbies,Manufacturing,"Customer engagement,Q&A,Connections,Review Response","If they see that a review is getting back in there responding to negative reviews or addressing issues that another consumer has had, it just gives them the confidence that if anything goes wrong, they will have a similar positive experience with the brand. ",Case study,Yes
KidKraft,Taylor Herrero,Senior Ecommerce Marketing Manager,"Taylor Herrero, KidKraft",Toys / Games / Hobbies,Manufacturing,"Customer engagement,Q&A,Connections","We really try to focus on answering consumers questions in a timely manner and making sure we’re addressing what they’re asking. If we’re able to address those questions as they come up, when new consumers come to the page and as they are researching, they may have that same question and it's already answered, and they don’t have to ask it again. They can see that we responded to it, we gave a thoughtful answer, it’s helpful, and that obviously makes us more efficient here. It's less questions in the queue and less time spent answering questions.",Case study,Yes
King of Shaves,Jane Greenaway,Customer Care Manager,"Jane Greenaway, King of Shaves",Health / Beauty,Manufacturing,Customer experience,"We have always encouraged feedback, and the reviews are a much more structured way for gathering the information we want to ensure customers buy products they’ll love. They help us to help the customer, and without a satisfied customer, we have no business.",Case study,Yes
King of Shaves,Jane Greenaway,Customer Care Manager,"Jane Greenaway, King of Shaves",Health / Beauty,Manufacturing,"TryIt,Insights","We ensure we read, and where necessary, respond to every single review submitted. Because we’re a relatively small company, we tend to be more flexible than our competitors and can take action on the insights",Case study,Yes
L'Oréal Australia,Amanda Green,Director of eCommerce,"Amanda Green, L'Oréal Australia",Health / Beauty,Manufacturing,BV Advantage: Network,"It’s crucial to share and receive content as much as possible with channel partners, as users visit both brand and retailer sites when researching a product. It removes their feeling of need to hunt for varied opinions and that what they are seeing is the true opinion.",Case study,Yes
L'Oréal Australia,Amanda Green,Director of eCommerce,"Amanda Green, L'Oréal Australia",Health / Beauty,Manufacturing,Amplify,We want consistent information available across all touchpoints and contextually-relevant content. Using creative that showcases reviews enables us to be part of the conversation without it being an overt brand statement on the product,Case study,Yes
L'Oréal Australia,Amanda Green,Director of eCommerce,"Amanda Green, L'Oréal Australia",Health / Beauty,Manufacturing,"Customer experience,Customer engagement","Ultimately, the voice of our customers instills the kind of trust in L’Oréal Australia and our products that helps us maintain our strong reputation and success in connecting with the customer wherever they are.",Case study,Yes
La Redoute,Marie Mercier,Digital Experience Director ,"Marie Mercier, La Redoute",Mass Merchant / Department Store,Retail,"Conversion,Customer experience","Implementing our CGC program was a fundamental step in our client-centric strategy. While 90% of our sales are made online, the CGC responds perfectly to the immediacy of the customer purchasing and sharing behavior.",Case study,Yes
La Redoute,Marie Mercier,Digital Experience Director ,"Marie Mercier, La Redoute",Mass Merchant / Department Store,Retail,Customer engagement,"Having these online conversations gives customers reassurance and promotes our commitment to our website, our brand, and our brand partners.",Case study,Yes
Land O'Lakes,Kirsten Salmanowicz,Digital Marketing Platform Manager,"Kirsten Salmanowicz, Land O'Lakes",Food / Beverage / Drug,Manufacturing,Insights,"We combine data from reviews with our other sources of information and operationalize it across different business units. This includes data visualization platforms and dashboards to give us a quick snapshot into details like average ratings, sentiment, and customer demographics. All of this integration gives us the bigger picture and lets us build the story of the consumer across web, social, and email to really build their profile.",G2,Yes
Land O'Lakes,Gabi Winkels,Content Marketing Associate,"Gabi Winkels, Land O'Lakes",Food / Beverage / Drug,Manufacturing,Insights,"Our customers called out that the cinnamon rolls weren’t coming out correctly. We spotted an error with the recipe, and our development team quickly revised the recipe. Hearing from our customers helped make us aware and empowered us to take appropriate action.",G2,Yes
Land O'Lakes,Gabi Winkels,Content Marketing Associate,"Gabi Winkels, Land O'Lakes",Food / Beverage / Drug,Manufacturing,BV Advantage: Network,Reviews help demonstrate our value in meetings with retailers. We can show them our thousands of reviews and the added benefits the content is bringing to the product pages on their site,G2,Yes
Land O'Lakes,Vicky Cherne,Manager of Consumer Affairs & Customer Concerns,"Vicky Cherne, Land O'Lakes",Food / Beverage / Drug,Manufacturing,"Customer engagement,Customer experience,Review Response","We consider reviews another touch point for consumers to talk with us, no different than a phone call or social media post, and they require the same timeliness and care. Consumers are sometimes skeptical of big companies and publicly replying on the website reviews helps build trust.",Case study,Yes
Land O'Lakes,Vicky Cherne,Manager of Consumer Affairs & Customer Concerns,"Vicky Cherne, Land O'Lakes",Food / Beverage / Drug,Manufacturing,"Insights,Review Response","Negative reviews can be a gift. They give us a chance to learn more about a consumer’s experience with our product or recipe, and we can turn around a negative experience to end up with a more loyal fan.",Case study,Yes
Land O’Lakes,Kirsten Salmanowicz,Digital Marketing Platform Manager,"Kirsten Salmanowicz, Land O’Lakes",Food / Beverage / Drug,Manufacturing,Broad,"Reviews are obviously very important in delivering a good experience for the consumer, but they are also rewarding to our broader business",Case study,Yes
Land O’Lakes,Gabi Winkels,Content Marketing Associate,"Gabi Winkels, Land O’Lakes",Food / Beverage / Drug,Manufacturing,Insights,"The voice of the customer helps us discover use cases, trends, and ideas that we might not have thought about on our own. How our marketing, consumer affairs, and recipe creation teams think about our offerings can be very different from a customer’s point of view. The learnings we get from reviews guide many of our product and recipe development decisions",Case study,Yes
Leifheit AG,Philipp Erlewein,Senior Project Manager Digital Marketing,"Philipp Erlewein, Leifheit AG",Chemicals,Manufacturing,BV Advantage: Service & Support,"The Bazaarvoice implementation process is a thing of beauty. The scope and technical set up is precisely laid out, there’s lot of attention to detail in aligning the individual company strategy with the Bazaarvoice tools but what stands out the most were the fantastic people. It was always a great experience to work with them due to their super quick response rates, their in-depth knowledge and their very open-minded and supportive way of handling all communication. Highly recommended!",Direct,Yes
Lennox,Valerie Mastalka,Social Media and Communications Manager,"Valerie Mastalka, Lennox",Hardware / Home Appliance Electronics,Manufacturing,"BV Advantage: Strategy & Expertise,BV: Generic","What we love about our partnership with Bazaarvoice is they approach us with new ideas and we don’t have to ask or have a need for them to approach us. Bazaarvoice is so much more than just a technology solution, they really partner with us to give us insights into our business and solution on how to grow our business. They’re really our technology gurus. Bazaarvoice is so much more than just a technology solution, they’re really our technology gurus. They help give us a way grow our business.",Video interview,Yes
Lennox,Valerie Mastalka,Social Media and Communications Manager,"Valerie Mastalka, Lennox",Hardware / Home Appliance Electronics,Manufacturing,Insights,"Not only do Bazaarvoice reviews help us better sell our products to the end consumer, but its also bringing a lot of insight internally to our company because we can now understand exactly how the end consumer feels about our product and we can gather and use those insights to create our next line of products.",Video interview,Yes
LeTAO/KCC,Yusuke Nishio,Direct Marketing Manager,"Yusuke Nishio, LeTAO/KCC",Food / Beverage / Drug,Manufacturing,SEO,"The additional, high-quality traffic we get by using Bazaarvoice is clearly impacting our online business in a significant way.",Case study,Yes
LeTAO/KCC,Yusuke Nishio,Direct Marketing Manager,"Yusuke Nishio, LeTAO/KCC",Food / Beverage / Drug,Manufacturing,Amplify,"Consumers consider the voice of the customer to be extremely trustworthy, and using the reviews in our marketing content is an impactful way to showcase the value of our products.",Case study,Yes
LG,Bob Buhowski,Digital Marketing Group,"Bob Buhowski, LG",Consumer Electronics,Manufacturing,"Customer experience,Customer engagement,BV Advantage: Network","The consumer is definitely in charge today, and we as manufacturers are looking to support that consumer in any way we can. You can’t get closer to knowing what consumers want than having direct interaction with them. We’re no longer just relying on people coming back to our website to get more information about the product they’re considering on a retail site. If they have one or two questions they need clarification on, we’re right there to give them the answers and get them closer to a purchase decision. Sharing this platform with our retailers has definitely proven valuable to both of us as well as to our customers.",Case study,Yes
Lifetime Products,Mindy Wilson,Ecommerce Sales Manager & Reviews Program Manager,"Mindy Wilson, Lifetime Products",CPG (Consumer Packaged Goods),Manufacturing,"BV Advantage: Network,Customer engagement,Insights","Syncing reviews with our retailers- Helps drastically with volume and improved star rating.

Being able to respond to our customers- We have amazing feedback on our efforts to respond to every review written online. BV provides an eye on all our reviews and helps us give outstanding customer service.

Product improvement- We are able to use customer feedback to improve processes, products, and instructions.",G2,Yes
Lifetime Products,Mindy Wilson,Ecommerce Sales Manager & Reviews Program Manager,"Mindy Wilson, Lifetime Products",CPG (Consumer Packaged Goods),Manufacturing,"BV Advantage: Network,Connections,BV Advantage: Service & Support,Insights,BV Advantage: Innovation","The software does what it says it will and comes with great customer service. We are a manufacturer and sell to many retailers. We use this software to monitor reviews across multiple websites and our own. We also use the syndication option, and the Q&A manufacturer response option in Connections. BV as we call it internally is basically a hub where we can monitor and analyze our engagement with our vendors and customers to make sure they are getting the best customer service possible. There are quite a few retailers that use the BV network and they like it when we can sync our native reviews, answer questions, and add content to their site. It helps drive traffic for them and for us so it is a win-win. It is also a great way to monitor new products and see what improvements we can make as a manufacturer. Customers feedback is vital to innovation and quality. Bazaarvoice is the largest software like theirs in the marketplace, I believe, and has the most vendors using it. It is pricey and while they do a great job and have fabulous customer service it seems like they try to separate the services so you are having to pay for everything. There are LOTS of upgrades and add-ons. We have been pleasantly impressed with their customer service and dedication of their team to help us leverage the software we are paying for.
It is the largest software of its kind on the market. More of our retailers are using this software than any other which helps us as a manufacturer better service our retail partners.
Bazaarvoice understands the market and is constantly makes changes to adapt to the consumer.",Trust Radius,Yes
MAM Baby UK,Daniel Smith,Key Accounts Executive,"Daniel Smith, MAM Baby UK",CPG (Consumer Packaged Goods),Manufacturing,Broad,"Shopping for baby products can be very confusing, especially if it’s their first baby. Information spreads in the baby industry through word of mouth, so we know addressing that is key to our success.",Case study,Yes
MAM Baby UK,Daniel Smith,Key Accounts Executive,"Daniel Smith, MAM Baby UK",CPG (Consumer Packaged Goods),Manufacturing,Broad,"If a product does what it’s supposed to do, that’s great. But our consumers want to know that many others have used it and had positive experiences. One of the first things consumers do when shopping is look at reviews for social validation.",Case study,Yes
MAM Baby UK,Daniel Smith,Key Accounts Executive,"Daniel Smith, MAM Baby UK",CPG (Consumer Packaged Goods),Manufacturing,"BV Advantage: Network,SEO",Syndicating reviews enhances our brand’s visibility and provides SEO value. It provides a constant stream of fresh content on our product pages and keeps them at the top of our retailers’ category and search results pages. It’s making it easier for people to discover our products and drives traffic to those pages.,Case study,Yes
MAM Baby UK,Daniel Smith,Key Accounts Executive,"Daniel Smith, MAM Baby UK",CPG (Consumer Packaged Goods),Manufacturing,Volume,"Syndication helps with review recency. Consumers will question why no one has left a review in a couple of weeks or months. Because we’re syndicating reviews, we’re keeping our reviews current.",Case study,Yes
MAM Baby UK,Daniel Smith,Key Accounts Executive,"Daniel Smith, MAM Baby UK",CPG (Consumer Packaged Goods),Manufacturing,Broad,"We’re always looking to do the next best thing and stay ahead of the competition, and UGC has taken our e-commerce success to the next level. Word of mouth is how our brand grew. Ratings, reviews, and images from customers capture the conversations perfectly.",Case study,Yes
Mars Petcare,Kirsti Kuenstel,Brand Manager,"Kirsti Kuenstel, Mars Petcare",Pets,Manufacturing,"BV Advantage: Service & Support,BV: Generic",Implementing the Bazaarvoice tool on our website to allow consumer ratings on our products was a great pleasure. The execution and project management was organized very well and especially the activation of the newly implemented tool was so much fun. In combination with a Facebook competition we achieved more than 2000 ratings within the first two weeks after going live - very impressive and more than we expected during this short time period.,Direct,Yes
Merrick Pet Care,Pete Brace,VP Communications and Pet Parent Relations ,"Pete Brace, Merrick Pet Care",Pets,Manufacturing,Customer experience,"Though we have a decent level of awareness, consideration is really the name of the game. Consumer-generated content like reviews on our products provides the kind of invaluable information needed by those considering the right foods and treats. Having pet parents share their experiences with our products validates their purchase and also helps those considering Merrick.",Case study,Yes
Merrick Pet Care,Pete Brace,VP Communications and Pet Parent Relations ,"Pete Brace, Merrick Pet Care",Pets,Manufacturing,"BV: Generic,Customer experience","The third-party testimonial provides a more authentic viewpoint that is relevant to the person considering the purchase. We know how important ratings and reviews are from a foundational level, but the real power is in how you activate that content. We’ve received more value out of the investment because of how we’ve activated it. ",Case study,Yes
Naim Audio,Talea Bartlett,Digital Marketing Manager,"Talea Bartlett, Naim Audio",Consumer Electronics,Manufacturing,Amplify,"It’s really hard to tell people who haven’t experienced our product that it's amazing. So, we use the experience factor of our current customers to communicate our unique selling points.",Case study,Yes
Naim Audio,Talea Bartlett,Digital Marketing Manager,"Talea Bartlett, Naim Audio",Consumer Electronics,Manufacturing,BV Advantage: Network,"By leveraging the network, we’re now reaching out to prospective buyers at retail sites and essentially saying ‘this is why you should buy us.",Case study,Yes
Naim Audio,Talea Bartlett,Digital Marketing Manager,"Talea Bartlett, Naim Audio",Consumer Electronics,Manufacturing,BV Advantage: Network,"Customer reviews have increased awareness of our brand and products by improving our presence on those sites, which is pushing sales in our key stores.",Case study,Yes
Nestlé Canada,Lee Beech,Director of Consumer Experience,"Lee Beech, Nestlé Canada",Food / Beverage / Drug,Manufacturing,Insights,"Consumers do the talking for us. They speak, and we listen and take action. ",Case study,Yes
Nestlé Canada,Kristina Rapljenovic,Website Manager ,"Kristina Rapljenovic, Nestlé Canada",Food / Beverage / Drug,Manufacturing,Insights,"The review data mirrors some of the things that we’re seeing in the consumer service data, but it also allows us to see other themes that we may not detect through some of the phone conversations with consumers",Case study,Yes
Nestlé Canada,Kristina Rapljenovic,Website Manager ,"Kristina Rapljenovic, Nestlé Canada",Food / Beverage / Drug,Manufacturing,,"When you think about the impact, that’s 700 fewer calls or emails coming through to our customer service team. It’s time and money saved, so the impact is significant. It saves, on average, eight minutes to code a case. We previously didn’t have the capacity and had to let go of engaging with as many of the reviews as we wanted. It would have taken eight minutes to open a case and transfer all of that content. Now, it’s all automated",Case study,Yes
Neutrata,Juha Saarinen,Head of Traffic and Analytics,"Juha Saarinen, Neutrata",Hardware / Home Improvement,Retail,BV: Generic,"Bazaarvoice is important partner to us, and we get exactly the content that our customers are interested in.",Case study,Yes
Neutrata,Juha Saarinen,Head of Traffic and Analytics,"Juha Saarinen, Neutrata",Hardware / Home Improvement,Retail,"Customer engagement,Q&A","Customers asks lots of questions, which our staff didn’t know how to respond to. And because our product catalog is so wide, we quickly realized that the only option was to get the brands to answer questions themselves.",Case study,Yes
Neutrata,Juha Saarinen,Head of Traffic and Analytics,"Juha Saarinen, Neutrata",Hardware / Home Improvement,Retail,"Conversion,SEO",Bazaarvoice provides us great solutions to generate fresh and relevant content on our site. Rich and SEO-friendly product reviews help us to generate more traffic from Google and the content contributes to a lift in online sales.,Case study,Yes
Neutrata,Eeva Latva,User-generated content specialist,"Eeva Latva, Neutrata",Hardware / Home Improvement,Retail,"Customer engagement,Q&A","We recruited brands to take part in the Bazaarvoice Connections program and demonstrated to them the benefits of the easy-to-use solution for direct conversation with customers. More than 150 brands signed up in one year, and customers got answers straight from the product experts. This also contributed to our cooperation with brands, and it’s now easier for us to do other collaborative projects with them.",Case study,Yes
Norrona Sport AS,Jens Løland,eCommerce Manager,"Jens Løland, Norrona Sport AS",Sporting Goods / Outdoors,Manufacturing,ROBO,Analytics tell us that 25.5% of offline shoppers are being influenced by product reviews on our website. ,Case study,Yes
Norrona Sport AS,Jens Løland,eCommerce Manager,"Jens Løland, Norrona Sport AS",Sporting Goods / Outdoors,Manufacturing,Insights,"We’ve integrated reviews quite well into the organization. We use them to spot quality issues, get insights into usage areas of our products and even enrich our product descriptions based on what customers focus on in their reviews.",Case study,Yes
Northern Tool + Equipment,Adam M.,Ecommerce Marketing Manager,"Adam M., Northern Tool + Equipment",Hardware / Home Improvement,Retail,"BV Advantage: Innovation,BV: Generic,Tools,BV Advantage: Service & Support","Bazaarvoice is key to online retailers. Bazaarvoice offers the most comprehensive lineup of customer submitted content options in the industry. The reporting and content management interface is very clean, extremely comprehensive and is one of the best I've come across in the e-commerce industry. Their response time to bug fixes or cosmetic changes has been very quick, while still on the legacy platform. I appreciate Bazaarvoice making an effort to hold conferences near me to learn more about what is new/upcoming in the world of customer reviews, etc.",G2,Yes
Northern Tool + Equipment,Shea C.,Sr. E-Commerce Marketing Analyst,"Shea C., Northern Tool + Equipment",Hardware / Home Improvement,Retail,BV: Generic,"We currently use two different reviews services for 2 different websites and I can say, without a doubt, Bazaarvoice is the better of the two.",G2,Yes
Northern Tool + Equipment,Adam M.,Ecommerce Marketing Manager,"Adam M., Northern Tool + Equipment",Hardware / Home Improvement,Retail,Insights,"Reviews have highlighted flaws in product designs, which help identify the issue to get a quick resolution where we may have only noticed this through return rates.",G2,Yes
Officeworks,Karen Martins,eCommerce Merchandise Lead,"Karen Martins, Officeworks",Office Supplies,Retail,Conversion,"Regardless of volume, we see a higher conversion rate among visitors who read reviews, and they spent more",Case study,Yes
Officeworks,Steve Healy,E-Commerce Manager,"Steve Healy, Officeworks",Office Supplies,Retail,"Customer engagement,Customer experience","Our reviews program ultimately supports our strategy of making things easy and engaging for our customers during their shopping journey,",Case study,Yes
Oliso,Kyle Koenig,Director of Business Development,"Kyle Koenig, Oliso",Hardware / Home Appliance Electronics,Manufacturing,"Conversion,Q&A,Customer engagement,Insights,Review Response","As we continued thinking about ways to do this company justice, we knew reviews would come into play. With so many people reading reviews or asking questions before purchasing, getting that content on our site became a major initiative. Our customers are passionate and super vocal. They share with one another and want what others are talking about, so it’s become a priority to make sure these people know their voices are heard. We’re hands-on with this daily, including monitoring all reviews and questions in the dashboard, an we’re always taking steps to address issues",Case study,Yes
